Article Title,Article Content,Date,Location,Author
Two arrested on gang-rape charge in Dang,,,,
Two youths arrested with illegal substance,"Police have arrested two people with an illegal substance from Madhuwan Municipality-9 of Bardiya district.According to Bardiya District Police Office, police detained the youths with 40 milligrams of brown sugar on Monday.Deputy Superintendent of Police Hikmat Bahadur Bohara, information officer at Bardiya District Police Office, said the arrested are Samir Gurung, 22, of Madhuwan-9 and Jeevan Khatri, 29, of Madhuwan-8.He said police are further investigating after seeking judicial custody from the district court.","Published at : July 18, 2023",Bardiya,Kamal Panthi
Former Lumbini minister Yadav arrested on banking fraud charges,"Police have arrested Vijay Bahadur Yadav, former minister for land management, agriculture and cooperatives of Lumbini province, on the charge of banking fraud.According to Deputy Superintended of Police Shyamu Aryal, the former provincial minister was arrested from Duduwa Rural Municipality of Banke on Sunday.Aryal said Yadav is being brought to Rupandehi for further action.A court had issued an arrest warrant against Yadav in a fraud case after a bank refused to pay for a check bearing Rs1.2 million to Uma Shankar Yadav of Siyari Rural Municipality of Rupandehi for lack of sufficient balance in the bank account.Vijay served as the minister after he was elected to the provincial assembly from Banke-2 (a) from the Janata Samajbadi Party in the 2017 elections. The party later expelled him on the charge of working against the party. He then entered the CPN-UML ahead of last year’s polls and contested the elections. But was defeated by Bhandari Lal Ahir of the Janata Samajbadi Party.","Published at : July 17, 2023",Rupandehi,Amrita Anmol
Bridge construction in Jabdighat area left in limbo,"Construction of a new bridge at Jabdighat area in Bardiya—where an under construction bridge had caved in six years ago— is left in limbo due to budget uncertainty, leaving the local people into hardships.The authorities concerned are yet to release the budget required to construct the bridge over the Babai river despite the government’s repeated assurances. During his Bardiya visit on May 20, federal Minister for Physical Infrastructure and Transportation Prakash Jwala had said that a tender bidding would be invited by mid-June. But the bridge construction process is yet to begin with the current fiscal year of 2022-23 is about to end.Sanjaya Gautam, who was elected to the House of Representatives from Bardiya-1, had staged a fast-unto-death strike under the damaged Jabdighat bridge from May 13 with 15-point demands including the immediate reconstruction of the bridge. The lawmaker ended his hunger strike with an agreement with Minister Jwala.“Around Rs1 billion budget is estimated to construct a new bridge of a tentative 400-metre length,” said Niraj Shakya, chief at the Division Road Office in Nepalgunj. “We sent a file to the finance minister a month ago to ensure a budget. However, the ministry has not yet released the budget.” Shakya added the office had already fixed the construction site of the new bridge that links ward 4 of Gulariya Municipality and ward 11 of Barbardiya Municipality.“The new bridge is already named Babai river bridge,” Shakya said. “Bridge construction will commence soon after the ministry approves the budget. It takes around six months for survey work and design. The bridge can be completed within two and half years.”The local people are hugely affected due to the delay in bridge construction. They vented their ire at the government for ignoring their problem. According to Phulpati Tharu of Padanaha in Barbardiya-4, the villagers could reach Gulariya, the district headquarters of Bardiya, within 15 minutes if the bridge was constructed in the Jabadighat area. “Now it takes nearly two hours to reach Gulariya now due to the lack of a bridge,” said Tharu, adding the bridge construction has been delayed due to the utter negligence of the government.A road was constructed from Rajanawa near Nepal-India border in Gulariya to link it with the East-West Highway through Barbardiya. The road was blacktopped a year ago. But the road is not fully utilised due to the lack of a bridge over the Babai river.“The local people have to face difficulties despite the construction of the road. The government should allocate a budget at the earliest to construct the bridge,” said Muktinath Yadav, mayor of Gulariya Municipality. According to him, around 150,000 people of Gulariya and Barbardiya municipalities have been directly affected due to the delay in constructing the bridge in Jabdighat area.The Puppu Construction had constructed the bridge along the Gulariya-Rammapur road linking northern Bardiya with the East-West Highway at an estimated cost of Rs166.8 million. The bridge had caved in due to floods triggered by incessant rainfall in August 2017 even before it was handed over to the government authorities. Two spans had caved in as the floods damaged two pillars of the 435-metre long bridge. Many suspect the bridge had suffered damage as the contractor had used substandard materials while constructing it.","Published at : July 16, 2023",Bardiya,Kamal Panthi
Nepali man dies after being swept away by river in India,"A Nepali man died after he was swept away by a river in India.Naresh Oli, 47, of Triveni Rural Municipality-4 of Rolpa district was swept away by Amaravati river in Chandigarh of India on Monday, his family members said.Oli, who was walking on the riverbanks along with his relatives and friends, is said to be swept away by the river after flood gates were opened suddenly.Locals along with Indian police carried out a search operation, said Kabi Raj Oli, Naresh’s brother, adding all attempts to save him failed.The body was recovered from around 35 kilometres downstream on Wednesday.Naresh, who was living in India for the past 25 years, worked as a driver for a jewellery shop in Chandigarh. He is survived by three daughters, one son and a wife.","Published at : July 15, 2023",Rolpa,Kashiram Dangi
Local units aim to produce doctors to tackle shortage,,,,
Two Indian nationals detained with brown sugar,"Police arrested two Indian nationals in possession of brown sugar from Jamunaha border point in Banke district on Wednesday night.The security personnel held Junaid Rai and Salman Ali of Bahraich, India with 43 grams of brown sugar.The suspects were detained while they were entering Nepal on a motorcycle. A detailed investigation is underway into the case, said police.","Published at : July 13, 2023",Nepalgunj,Post Report
Elderly arrested on charge of raping a minor,"Police have arrested 66-year-old Ramphal Tharu, a resident of ward 5 of Geruwa Rural Municipality on Wednesday on the charge of raping a 14-year-old girl.According to DSP Hikmat Bahadur Bohora, information officer at the District Police Office, the arrest was made based on a complaint registered by the victim’s family on Monday at the area police office in Rajapur Municipality.Further investigation is going on by remanding Tharu in custody, and action will be taken accordingly, said Bohora.","Published at : July 13, 2023",Bardiya,Post Report
Four die of snakebite in Kapilvastu,,,,
Tiger hide and bones seized,"Police detained four people in possession of the tiger’s hide and bones from Kohalpur Municipality-11, Banke, on Thursday.A joint police team from the Lumbini Province Investigation Bureau and the Area Police Office in Kohalpur seized one piece of hide and around 6.8 kg of bones of the animal from the suspects. Prabin Kumar KC and Sunil Chunara of Dailekh, Lokendra Shahi of Achham and Karna Bahadur Rokaya of Jajarkot are those arrested for investigation, said police. The Division Forest Office in Banke has been carrying out further investigation into the case. According to forest officer Ajit Kumar Karna, the seized skin is of an adult female tiger which has two bullet injuries in the neck area.","Published at : July 6, 2023",Banke,Rupa Gahatraj
